# 
# pt_no, V (V), I (A)
0.000000000000000000e+00,5.726810000000000147e-05,-2.356550000000000015e-08
1.000000000000000000e+00,1.003970000000000036e-02,1.945850000000000013e-05
2.000000000000000000e+00,2.005039999999999947e-02,3.894900000000000266e-05
3.000000000000000000e+00,3.005390000000000145e-02,5.845750000000000062e-05
4.000000000000000000e+00,4.005519999999999914e-02,7.795659999999999829e-05
5.000000000000000000e+00,5.005339999999999789e-02,9.745160000000000053e-05
6.000000000000000000e+00,6.005610000000000115e-02,1.169439999999999971e-04
7.000000000000000000e+00,7.005569999999999853e-02,1.364380000000000107e-04
8.000000000000000000e+00,8.005160000000000053e-02,1.559280000000000019e-04
9.000000000000000000e+00,9.005509999999999904e-02,1.754430000000000074e-04
1.000000000000000000e+01,1.000589999999999952e-01,1.949280000000000012e-04
