#theta[deg]=-90
#ID,type,x[um],y[um]
0,NMetRes,0,-18325
1,LargeDiodes,0,-21000
2,PixelArray,0,-23675
3,UbmMetalRes,0,-26350
4,PContTlm,1,-7800
5,LargeDiodes,0,-10000
6,PixelArray,0,-12675
7,NMetUbmContRes,0,-15350
8,DiffusProx,0,3225
9,LargeDiodes,0,1000
10,PixelArray,0,-1675
11,UbmMetalRes,0,-4350
12,PContTlm,1,14200
13,LargeDiodes,0,12000
14,PixelArray,0,9325
15,PContUbmContRes,0,6650
16,UbmMetalRes,0,25675
17,LargeDiodes,0,23000
18,PixelArray,0,20325
19,NMetUbmContRes,0,17650
20,NMetRes,13560,14675
21,SmallDiodes,13560,11641
22,PixelArray,13560,9325
23,NMetTlm,13561,6135
24,UbmMetalRes,27120,3675
25,LargeDiodes,27120,1000
26,PContTlm,13561,3200
27,LargeDiodes,13560,1000
28,PContTlm,13561,25200
29,LargeDiodes,13560,23000
30,PixelArray,13560,20325
31,DiffusProx,13560,17200
32,PContTlm,27121,14200
33,LargeDiodes,27120,12000
34,PixelArray,27120,9325
35,NMetUbmContRes,27120,6650
36,LargeDiodes,-27120,1000
37,PContTlm,-13559,3200
38,LargeDiodes,-13560,1000
39,NMetRes,-13560,14675
40,SmallDiodes,-13560,11641
41,PixelArray,-13560,9325
42,NMetTlm,-13560,6135
43,PContTlm,-13559,25200
44,LargeDiodes,-13560,23000
45,PixelArray,-13560,20325
46,DiffusProx,-13560,17200
47,PContTlm,-27119,14200
48,LargeDiodes,-27120,12000
49,PixelArray,-27120,9325
50,NMetUbmContRes,-27120,6650
51,DiffusProx,-27120,3225
52,PContUbmContRes,-13560,-7325
53,SmallDiodes,-13560,-10359
54,PixelArray,-13560,-12675
55,NMetTlm,-13560,-15866
56,PContTlm,-27119,-7800
57,LargeDiodes,-27120,-10000
58,PixelArray,-27120,-12675
59,NMetUbmContRes,-27120,-15350
60,PContTlm,-13559,-18800
61,LargeDiodes,-13560,-21000
62,PixelArray,-13560,-23675
63,DiffusProx,-13560,-26800
64,PixelArray,-13560,-1675
65,NMetRes,-13560,-4350
66,PixelArray,-27120,-1675
67,UbmMetalRes,-27120,-4350
68,NMetTlm,13561,-15866
69,PixelArray,27120,-1675
70,DiffusProx,27120,-4800
71,PixelArray,13560,-1675
72,NMetRes,13560,-4350
73,PContTlm,13561,-18800
74,LargeDiodes,13560,-21000
75,PixelArray,13560,-23675
76,DiffusProx,13560,-26800
77,PContTlm,27121,-7800
78,LargeDiodes,27120,-10000
79,PixelArray,27120,-12675
80,NMetUbmContRes,27120,-15350
81,PContUbmContRes,13560,-7325
82,SmallDiodes,13560,-10359
83,PixelArray,13560,-12675
